"est" "sem"
"1" -1.286 0.719
"2" -0.783 0.816
"3" 0.981 0.669
"4" -0.605 0.702
"5" 0.002 0.82
"6" 0.27 0.862
"7" 1.966 0.661
"8" -1.092 0.752
"9" -0.85 0.797
"10" -0.931 0.791
"11" -0.069 0.697
"12" -0.915 0.786
"13" -0.132 0.772
"14" 1.134 0.762
"15" 2.315 0.665
"16" 0.767 0.743
"17" 1.171 0.637
"18" 1.817 0.682
"19" 1.355 0.729
"20" -0.422 0.73
"21" -0.382 0.891
"22" 0.849 0.715
"23" 0.052 0.621
"24" -1.474 0.688
"25" -1.151 0.741
"26" -0.876 0.789
"27" -1.107 0.75
"28" -1.054 0.763
"29" -0.252 0.758
"30" -0.201 0.774
"31" 0.528 0.683
"32" -0.245 0.764
"33" -0.093 0.692
"34" 2.018 0.598
"35" -0.026 0.799
"36" 0.502 0.771
"37" 1.006 0.655
"38" 1.461 0.724
"39" 0.092 0.837
"40" 1.532 0.741
"41" 2 0.701
"42" -1.584 0.671
"43" -0.526 0.869
"44" -0.703 0.823
"45" 0.769 0.731
"46" 0.304 0.657
"47" 2.302 0.651
"48" -0.827 0.677
"49" -0.369 0.746
"50" -0.395 0.74
"51" -0.146 0.781
"52" 0.488 0.616
"53" -1.371 0.706
"54" 0.065 0.813
"55" -0.719 0.673
"56" -0.177 0.935
"57" 2.15 0.67
"58" -0.664 0.843
"59" 1.22 0.802
"60" -0.815 0.805
"61" -1.075 0.752
"62" -1.011 0.769
"63" -0.405 0.888
"64" 1.249 0.652
"65" -0.36 0.748
"66" 1.003 0.71
"67" -0.497 0.619
"68" -0.841 0.795
"69" 1.916 0.613
"70" 1.217 0.795
"71" -0.683 0.694
"72" 1.595 0.807
"73" 1.261 0.757
"74" 1.713 0.713
"75" -1.007 0.759
"76" -0.525 0.725
"77" -0.167 0.786
"78" -0.801 0.803
"79" 0.353 0.778
"80" -0.369 0.743
"81" 1.773 0.684
"82" -0.846 0.671
"83" -1.015 0.76
"84" -0.458 0.73
"85" -0.219 0.765
"86" -1.155 0.747
"87" -1.283 0.725
"88" -0.659 0.838
"89" 1.57 0.7
"90" -0.325 0.891
"91" 0.651 0.815
"92" -0.781 0.815
"93" 0.158 0.712
"94" -0.366 0.751
"95" -1.315 0.714
"96" 1.195 0.667
"97" -0.843 0.798
"98" 0.254 0.744
"99" -0.579 0.858
"100" 1.233 0.798
"101" -0.762 0.809
"102" 1.431 0.627
"103" -0.432 0.87
"104" -1.248 0.726
"105" 1.41 0.695
"106" -0.482 0.728
"107" -1.21 0.727
"108" 2.235 0.623
"109" -0.235 0.921
"110" -0.622 0.696
"111" -1.053 0.751
"112" -0.91 0.791
"113" -0.361 0.75
"114" 2.138 0.649
"115" 0.193 0.709
"116" -0.394 0.726
"117" -0.52 0.719
"118" -0.644 0.698
"119" 1.535 0.596
"120" -1.371 0.704
"121" -1.213 0.731
"122" -0.946 0.777
"123" 1.639 0.617
"124" 0.842 0.715
"125" -0.729 0.809
"126" 1.562 0.703
"127" 1.495 0.706
"128" -1.316 0.712
"129" -0.347 0.751
"130" -0.524 0.864
"131" -0.571 0.85
"132" -1.35 0.711
"133" -1.128 0.74
"134" 0.522 0.698
"135" -0.945 0.776
"136" 1.749 0.733
"137" 1.422 0.755
"138" 1.778 0.642
"139" -1.258 0.725
"140" -0.701 0.82
"141" -1.139 0.747
"142" -0.616 0.7
"143" -1.157 0.744
"144" 1.275 0.731
"145" -1.197 0.723
"146" 2.262 0.646
"147" 0.17 0.814
"148" 0.305 0.744
"149" 1.398 0.726
"150" 1.69 0.638
"151" -0.526 0.867
"152" 2.236 0.651
"153" 0.65 0.697
"154" -0.789 0.806
"155" 0.407 0.717
"156" 0.543 0.685
"157" 1.282 0.694
"158" -0.606 0.843
"159" 0.058 0.836
"160" -0.956 0.774
"161" -0.463 0.714
"162" 0.619 0.912
"163" -1.086 0.751
"164" 1.792 0.635
"165" -1.374 0.705
"166" -0.373 0.731
"167" -0.231 0.746
"168" -0.681 0.691
"169" -1.167 0.736
"170" 0.064 0.705
"171" -1.435 0.697
"172" 1.194 0.697
"173" -0.077 0.693
"174" -0.549 0.837
"175" -0.817 0.807
"176" -1.153 0.74
"177" -0.28 0.753
"178" 1.044 0.703
"179" -0.875 0.789
"180" -1.34 0.71
"181" -0.896 0.803
"182" 2.154 0.661
"183" -1.15 0.748
"184" -0.05 0.796
"185" 1.256 0.715
"186" 1.978 0.669
"187" -1.291 0.717
"188" 0.468 0.732
"189" 1.165 0.76
"190" 0.531 0.768
"191" -0.526 0.706
"192" -0.616 0.844
"193" -0.27 0.91
"194" 1.522 0.731
"195" -1.481 0.689
"196" 1.846 0.664
"197" 0.208 0.644
"198" -1.135 0.745
"199" -0.035 0.688
"200" 1.88 0.715
"201" -1.236 0.727
"202" -0.964 0.776
"203" 0.161 0.698
"204" -0.933 0.785
"205" -1.2 0.73
"206" -0.393 0.746
"207" -1.118 0.753
"208" 0.813 0.746
"209" -0.999 0.776
"210" 1.537 0.733
"211" -1.031 0.768
"212" -1.347 0.709
"213" -0.96 0.775
"214" -0.684 0.683
"215" -0.607 0.709
"216" -1.025 0.759
"217" -1.098 0.757
"218" -1.453 0.694
"219" -1.288 0.713
"220" -1.043 0.763
"221" -0.458 0.723
"222" -1.276 0.721
"223" 1.011 0.762
"224" -0.779 0.675
"225" -0.825 0.802
"226" -1.219 0.728
"227" -0.962 0.772
"228" -0.4 0.729
"229" 0.255 0.744
"230" -1.053 0.764
"231" -0.339 0.732
"232" 1.958 0.618
"233" -0.971 0.77
"234" 1.493 0.654
"235" -1.173 0.737
"236" -1.08 0.757
"237" 2.283 0.639
"238" 0.821 0.655
"239" -1.255 0.726
"240" 1.017 0.851
"241" 0.803 0.549
"242" -0.212 0.762
"243" 0.399 0.777
"244" -0.876 0.798
"245" -1.357 0.703
"246" -0.819 0.796
"247" -1.193 0.729
"248" -0.033 0.605
"249" 1.303 0.754
"250" 0.043 0.709
"251" 0.656 0.644
"252" -1.396 0.699
"253" -1.328 0.713
"254" -0.474 0.883
"255" 0.623 0.599
"256" -0.377 0.883
"257" -1.151 0.741
"258" -1.116 0.747
"259" -0.744 0.813
"260" -0.979 0.769
"261" -0.467 0.728
"262" 1.606 0.754
"263" -0.7 0.822
"264" -0.717 0.831
"265" -0.849 0.807
"266" -1.156 0.743
"267" 0.635 0.641
"268" -0.147 0.671
"269" -0.982 0.646
"270" 0.914 0.635
"271" -0.348 0.748
"272" -0.863 0.793
"273" -1.116 0.748
