"est" "sem"
"1" 0.452 0.909
"2" 0.474 0.689
"3" -0.62 0.7
"4" -0.827 0.674
"5" -1.159 0.739
"6" -0.414 0.88
"7" 1.886 0.682
"8" -0.884 0.79
"9" 0.33 0.879
"10" -0.373 0.738
"11" 0.709 0.637
"12" 1.967 0.68
"13" -0.459 0.717
"14" -1.13 0.743
"15" -0.999 0.765
"16" 1.016 0.793
"17" -1.301 0.714
"18" -0.351 0.75
"19" -0.673 0.821
"20" 0.095 0.814
"21" 0.046 0.827
"22" 1.459 0.736
"23" 2.908 0.637
"24" -0.833 0.808
"25" -0.903 0.79
"26" 0.387 0.678
"27" 0.915 0.836
"28" -1.082 0.749
"29" 0.463 0.615
"30" 0.352 0.634
"31" -0.789 0.822
"32" -0.932 0.773
"33" -0.19 0.784
"34" -0.904 0.777
"35" -1.273 0.716
"36" 1.027 0.751
"37" -0.826 0.802
"38" 0.939 0.822
"39" 0.614 0.742
"40" 1.402 0.702
"41" 0.039 0.683
"42" -0.959 0.783
"43" 1.61 0.701
"44" 1.008 0.789
"45" 1.702 0.706
"46" -0.636 0.839
"47" 1.588 0.739
"48" -1.207 0.732
"49" -0.818 0.804
"50" -0.326 0.906
"51" 2.063 0.636
"52" -0.867 0.78
"53" -0.745 0.687
"54" 1.608 0.766
"55" -0.957 0.779
"56" 0.51 0.773
"57" -0.388 0.878
"58" -0.918 0.79
"59" 0.444 0.766
"60" -1.215 0.734
"61" -1.26 0.726
"62" 1.692 0.715
"63" 1.744 0.794
"64" -1.194 0.737
"65" 0.405 0.687
"66" -0.863 0.796
"67" -0.768 0.804
"68" -0.126 0.672
"69" -0.509 0.729
"70" -0.282 0.737
"71" 0.403 0.77
"72" 2.194 0.683
"73" 0.828 0.587
"74" -0.174 0.94
"75" -0.734 0.82
"76" 1.819 0.719
"77" 0.483 0.675
"78" -0.439 0.725
"79" -0.581 0.845
"80" -0.81 0.813
"81" -0.934 0.783
"82" -1.086 0.754
"83" -1.346 0.706
"84" 0.398 0.614
"85" 1.557 0.704
"86" 1.058 0.704
"87" -0.726 0.82
"88" -0.848 0.808
"89" -1.254 0.728
"90" -0.425 0.738
"91" 1.887 0.68
"92" -1.071 0.751
"93" -1.43 0.694
"94" -0.703 0.825
"95" 0.174 0.833
"96" -0.952 0.777
"97" 1.23 0.757
"98" -0.408 0.631
"99" -1.162 0.736
"100" -1.071 0.756
"101" -0.629 0.844
"102" -0.485 0.876
"103" -0.085 0.785
"104" 0.686 0.613
"105" -1.193 0.731
"106" 0.756 0.82
"107" 1.22 0.74
"108" -0.834 0.796
"109" -0.282 0.751
"110" -0.941 0.783
"111" 1.933 0.706
"112" -0.531 0.861
"113" 0.906 0.702
"114" -1.086 0.757
"115" 1.499 0.736
"116" 1.854 0.604
"117" -1.149 0.741
"118" 0.329 0.745
"119" 1.912 0.682
"120" 0.781 0.773
"121" -0.477 0.724
"122" -1.234 0.721
"123" 2.03 0.643
"124" 0.244 0.73
"125" 1.274 0.744
"126" -0.814 0.674
"127" -0.529 0.869
"128" -0.702 0.817
"129" 1.123 0.79
"130" -0.681 0.835
"131" -0.946 0.783
"132" -0.916 0.78
"133" 2.042 0.732
"134" 1.082 0.688
"135" 1.367 0.855
"136" -0.924 0.786
"137" -0.93 0.788
"138" -0.815 0.816
"139" 0.107 0.702
"140" 1.295 0.661
"141" -1.255 0.723
"142" -0.556 0.858
"143" 1.089 0.673
"144" 1.645 0.671
"145" -0.504 0.853
"146" -0.694 0.683
"147" -1.077 0.761
"148" -0.901 0.786
"149" 1.531 0.739
"150" -1.098 0.752
"151" -0.231 0.781
"152" 2.056 0.674
"153" -0.411 0.731
"154" -1.134 0.748
"155" -1.012 0.767
"156" -0.94 0.776
"157" -0.975 0.78
"158" -0.869 0.795
"159" -1.081 0.634
"160" -0.349 0.732
"161" -0.879 0.798
"162" -0.729 0.829
"163" -0.491 0.726
"164" -1.037 0.759
"165" -0.28 0.752
"166" 1.578 0.722
"167" 1.251 0.722
"168" -0.588 0.696
"169" 1.301 0.754
"170" -0.422 0.723
"171" 2.02 0.681
"172" 0.659 0.699
"173" -1.037 0.754
"174" -0.185 0.653
"175" 1.445 0.714
"176" -0.689 0.688
"177" -1.107 0.748
"178" -0.564 0.86
"179" -0.424 0.74
"180" -0.421 0.734
"181" -1.229 0.736
"182" -0.794 0.814
"183" -0.29 0.666
"184" -0.951 0.772
"185" -1.223 0.732
"186" 0.803 0.673
"187" -0.947 0.78
"188" -0.042 0.8
"189" -0.769 0.801
"190" -0.813 0.674
"191" 1.723 0.691
"192" -0.319 0.754
"193" -0.568 0.858
"194" 1.172 0.702
"195" -0.814 0.803
"196" 0.628 0.582
"197" 0.822 0.829
"198" 1.459 0.729
"199" 0.945 0.656
"200" 0.942 0.786
"201" -0.717 0.819
"202" 0.707 0.83
"203" -0.894 0.785
"204" 1.172 0.789
"205" -0.308 0.751
"206" -1.118 0.747
"207" -0.55 0.849
"208" -0.126 0.771
"209" -0.215 0.757
"210" -0.457 0.883
"211" 1.553 0.644
"212" 0.965 0.797
"213" 1.798 0.689
"214" -0.33 0.917
"215" -0.572 0.841
"216" -0.746 0.813
"217" 0.865 0.812
"218" -0.477 0.877
"219" -1.186 0.736
"220" -0.105 0.78
"221" 1.307 0.634
"222" -0.648 0.834
"223" -0.299 0.916
"224" 0.783 0.561
"225" 0.493 0.673
"226" -0.628 0.834
"227" -0.717 0.84
"228" -0.986 0.768
"229" -0.59 0.701
"230" -0.911 0.779
"231" 0.837 0.841
"232" 1.014 0.779
"233" 0.134 0.737
"234" -1.276 0.718
"235" -0.655 0.823
"236" -0.149 0.788
"237" 0.467 0.753
"238" 2.23 0.653
"239" 1.502 0.76
"240" -0.951 0.78
"241" -0.809 0.798
"242" 1.463 0.687
"243" 0.75 0.658
"244" 0.216 0.578
"245" 1.005 0.668
"246" 0.821 0.842
"247" 1.022 0.833
"248" 0.214 0.584
"249" -0.146 0.772
"250" -1.171 0.741
"251" 0.414 0.744
"252" -0.832 0.81
"253" -0.827 0.809
"254" 1.484 0.752
"255" -0.642 0.694
"256" -0.446 0.717
"257" -1.363 0.704
"258" -1.052 0.76
"259" -0.172 0.675
"260" -0.992 0.774
"261" 0.42 0.69
"262" -0.94 0.776
"263" -0.81 0.803
"264" -0.443 0.734
"265" 0.902 0.768
"266" -0.952 0.783
"267" 1.342 0.719
"268" -0.883 0.789
"269" 0.045 0.824
"270" -0.828 0.672
"271" 0.808 0.727
"272" 0.631 0.913
"273" 1.041 0.729
"274" -1.039 0.765
"275" 0.266 0.735
"276" -0.822 0.787
"277" 2.314 0.742
"278" 1.053 0.625
"279" -0.661 0.837
"280" -0.224 0.769
"281" -1.231 0.727
"282" 0.599 0.689
"283" -1.272 0.719
"284" 1.202 0.745
"285" -1.004 0.775
"286" 1.806 0.663
"287" 1.32 0.753
"288" 1.918 0.674
"289" -0.208 0.785
"290" 0.459 0.683
"291" 1.402 0.671
"292" 1.381 0.659
"293" 0.008 0.825
"294" -1.111 0.755
"295" -0.263 0.752
"296" -1.005 0.776
"297" -0.614 0.853
"298" -0.919 0.788
"299" -1.099 0.753
"300" -0.192 0.756
"301" 0.871 0.713
"302" 0.029 0.807
"303" -1.08 0.759
"304" -0.817 0.801
"305" -0.527 0.868
"306" 1.216 0.742
"307" 0.082 0.713
"308" -0.135 0.799
"309" 1.332 0.67
"310" -0.246 0.748
"311" 1.395 0.713
"312" -1.016 0.775
"313" -0.525 0.853
"314" -0.152 0.669
"315" 1.5 0.676
"316" 1.379 0.77
"317" -0.428 0.884
"318" -0.27 0.749
"319" 0.409 0.911
"320" 1.058 0.661
"321" 2.077 0.647
"322" -0.299 0.756
"323" -0.668 0.847
"324" -0.846 0.802
"325" 1.098 0.704
"326" -0.514 0.723
"327" -0.61 0.838
"328" 0.871 0.794
"329" 1.43 0.679
"330" -0.958 0.775
"331" 0.267 0.748
"332" -1.32 0.712
"333" -1.157 0.741
"334" -0.89 0.785
"335" 1.64 0.694
"336" -0.676 0.814
"337" 2.144 0.69
"338" -1.036 0.76
"339" -0.829 0.792
"340" 0.462 0.67
"341" 0.719 0.739
"342" -0.923 0.789
"343" 0.715 0.707
"344" -1.072 0.753
"345" 0.823 0.721
"346" -0.907 0.795
"347" -0.366 0.735
"348" 1.917 0.601
"349" -1.168 0.744
"350" -0.343 0.738
"351" 1.515 0.692
"352" -0.608 0.837
"353" 2.092 0.615
"354" 0.776 0.679
"355" 1.372 0.748
"356" 1.203 0.729
"357" 0.086 0.698
"358" -0.82 0.81
"359" -1.063 0.75
"360" -0.926 0.78
"361" 0.599 0.768
"362" -0.116 0.957
"363" 1.479 0.723
"364" -0.819 0.809
"365" 2.062 0.636
"366" -0.377 0.898
"367" -0.857 0.792
"368" -0.45 0.866
"369" -0.208 0.772
"370" -0.832 0.81
"371" -0.003 0.802
"372" -1.086 0.758
"373" 2.1 0.7
"374" -0.275 0.76
"375" -1.199 0.726
"376" -0.589 0.714
"377" -1.096 0.746
"378" -0.584 0.713
"379" -1.157 0.738
"380" 1.409 0.727
"381" -0.711 0.819
"382" -0.624 0.714
"383" -0.88 0.803
"384" -0.875 0.794
"385" 1.018 0.725
"386" 2.162 0.698
"387" 1.351 0.759
"388" 0.197 0.73
"389" 1.564 0.667
"390" -0.61 0.852
"391" -0.593 0.845
"392" 2.065 0.664
"393" 1.708 0.648
"394" -1.009 0.767
"395" -0.397 0.728
"396" 1.131 0.712
"397" 1.093 0.75
"398" 0.53 0.753
"399" -0.541 0.702
"400" 0.577 0.787
"401" -0.437 0.867
"402" -1.274 0.722
"403" -0.736 0.803
"404" -0.677 0.847
"405" 0.089 0.703
"406" -0.564 0.86
"407" -0.016 0.802
"408" 0.599 0.728
"409" -0.919 0.781
"410" -0.933 0.782
"411" -0.391 0.754
"412" -0.721 0.823
"413" 0.166 0.643
"414" 0.739 0.686
"415" -0.163 0.784
"416" -0.663 0.697
"417" -0.919 0.788
"418" 0.219 0.624
"419" -0.903 0.788
"420" -0.105 0.96
"421" 2.91 0.639
"422" -0.52 0.711
"423" 0.008 0.825
"424" -1.148 0.735
"425" 0.691 0.82
"426" -0.653 0.834
"427" -1.138 0.739
"428" -1.104 0.746
"429" 0.235 0.735
"430" -0.658 0.823
"431" -0.447 0.876
"432" -0.464 0.874
"433" -0.847 0.793
"434" -0.644 0.694
"435" 1.562 0.739
"436" 1.146 0.714
"437" -1.255 0.725
"438" -0.412 0.735
"439" -0.249 0.781
"440" -0.869 0.79
"441" -0.911 0.781
"442" -1.192 0.737
"443" -1.014 0.753
"444" -0.479 0.857
"445" 1.105 0.649
"446" -0.789 0.814
"447" -0.862 0.803
"448" -0.867 0.785
"449" -0.304 0.643
"450" -0.843 0.804
"451" -1.018 0.759
"452" 1.012 0.783
"453" -0.603 0.857
"454" -1.237 0.722
"455" 1.545 0.724
"456" 1.02 0.758
"457" 1.459 0.728
"458" 0.317 0.727
"459" 1.761 0.631
"460" 0.761 0.725
"461" 1.494 0.748
"462" 1.208 0.639
"463" -0.334 0.915
"464" -0.568 0.699
"465" 1.045 0.791
"466" -0.159 0.789
"467" -1.075 0.756
"468" -0.91 0.77
"469" -0.478 0.863
"470" -1.083 0.754
"471" -0.017 0.694
"472" -1.348 0.706
"473" -1.162 0.741
"474" 1.293 0.716
"475" 0.418 0.564
"476" -0.576 0.72
"477" -0.9 0.79
"478" -0.778 0.808
"479" -0.676 0.692
"480" -0.855 0.795
