"est" "sem"
"1" -1.202 0.732
"2" -0.254 0.764
"3" -0.643 0.834
"4" -0.196 0.655
"5" -0.9 0.785
"6" 0.424 0.778
"7" -0.871 0.784
"8" -0.563 0.717
"9" -0.235 0.759
"10" -0.034 0.686
"11" 0.853 0.839
"12" 0.053 0.805
"13" 2.095 0.644
"14" -0.637 0.826
"15" -1.185 0.742
"16" -1.034 0.768
"17" -0.836 0.796
"18" -0.75 0.823
"19" -0.692 0.816
"20" -0.921 0.787
"21" -0.214 0.769
"22" -0.826 0.8
"23" -0.779 0.796
"24" 1.781 0.704
"25" 0.287 0.733
"26" 1.231 0.696
"27" 0.75 0.843
"28" -1.027 0.763
"29" -0.326 0.765
"30" -0.744 0.821
"31" -0.758 0.808
"32" -0.824 0.808
"33" 1.894 0.68
"34" 0.94 0.682
"35" -1.214 0.736
"36" 0.843 0.817
"37" -0.882 0.663
"38" 0.851 0.672
"39" -0.15 0.787
"40" 0.878 0.839
"41" -0.322 0.753
"42" -0.958 0.778
"43" -1.1 0.75
"44" -0.76 0.821
"45" -0.301 0.729
"46" 2.191 0.676
"47" -0.865 0.805
"48" -0.181 0.767
"49" -0.986 0.768
"50" 0.391 0.75
"51" -0.731 0.82
"52" -0.798 0.802
"53" 0.164 0.81
"54" 2.1 0.69
"55" -0.583 0.698
"56" -0.191 0.664
"57" 1.429 0.646
"58" 0.765 0.736
"59" 1.489 0.744
"60" -0.712 0.817
"61" 0.097 0.614
"62" -1.087 0.753
"63" -0.782 0.796
"64" 0.049 0.799
"65" 0.763 0.736
"66" 1.159 0.673
"67" 1.327 0.753
"68" -0.037 0.687
"69" -0.332 0.749
"70" -0.559 0.862
"71" 0.082 0.815
"72" -1.165 0.74
"73" 0.914 0.737
"74" 0.405 0.746
"75" 0.113 0.694
"76" 0.962 0.669
"77" -0.269 0.643
"78" 1.124 0.695
"79" 0.129 0.705
"80" -1.141 0.738
"81" -0.656 0.833
"82" -0.835 0.811
"83" -0.968 0.772
"84" -0.757 0.813
"85" -0.816 0.799
"86" -0.667 0.691
"87" 1.38 0.791
"88" 1.004 0.794
"89" -0.393 0.891
"90" 0.376 0.754
"91" 1.893 0.639
"92" -0.767 0.812
"93" -0.686 0.823
"94" -0.673 0.821
"95" -1.257 0.72
"96" -0.294 0.921
"97" 0.06 0.714
"98" -0.167 0.756
"99" -0.465 0.865
"100" -0.251 0.927
"101" 1.092 0.642
"102" -0.476 0.713
"103" -0.531 0.707
"104" -0.31 0.756
"105" -0.865 0.797
"106" -0.275 0.755
"107" -0.351 0.899
"108" -0.662 0.687
"109" 0.534 0.909
"110" 1.558 0.705
"111" -1.036 0.768
"112" -0.839 0.796
"113" -0.979 0.762
"114" 2.467 0.614
"115" -0.518 0.708
"116" 1.999 0.703
"117" -0.864 0.791
"118" -1.086 0.748
"119" -0.68 0.83
"120" 0.236 0.622
"121" -1.158 0.742
"122" 1.199 0.712
"123" 0.185 0.838
"124" 0.749 0.703
"125" 0.965 0.738
"126" 0.694 0.734
"127" 0.186 0.828
"128" 1.814 0.677
"129" 1.952 0.63
"130" -0.402 0.889
"131" -0.664 0.679
"132" -0.718 0.82
"133" -0.43 0.717
"134" 1.615 0.75
"135" -0.614 0.837
"136" 0.737 0.657
"137" -0.862 0.794
"138" -0.837 0.801
"139" 0.001 0.682
"140" -0.628 0.7
"141" 0.574 0.759
"142" 1.346 0.747
"143" -0.819 0.813
"144" -0.568 0.849
"145" 0.763 0.68
"146" -1.035 0.752
"147" 0.318 0.87
"148" -0.583 0.852
"149" 1.029 0.631
"150" -0.766 0.821
"151" -0.61 0.695
"152" 0.053 0.699
"153" -0.622 0.685
"154" -0.646 0.835
"155" -1.059 0.761
"156" -0.498 0.72
"157" -1.068 0.753
"158" 0.663 0.736
"159" -1.027 0.755
"160" -0.842 0.782
"161" -0.865 0.788
"162" 0.611 0.778
"163" -0.808 0.808
"164" 1.758 0.679
"165" -0.356 0.74
"166" -0.263 0.744
"167" 1.215 0.788
"168" 1.134 0.638
"169" -0.02 0.795
"170" -0.295 0.901
"171" -0.528 0.71
"172" -1.122 0.739
"173" -0.884 0.781
"174" -0.572 0.707
"175" -0.479 0.74
"176" 0.206 0.719
"177" 1.747 0.689
"178" -0.84 0.785
"179" -1.263 0.721
"180" -0.149 0.763
"181" -0.502 0.868
"182" -0.016 0.681
"183" 0.341 0.851
"184" 1.512 0.638
"185" -0.941 0.773
"186" -0.035 0.682
"187" -0.864 0.662
"188" -0.992 0.769
"189" -0.974 0.769
"190" -1.22 0.723
"191" -0.385 0.903
"192" 0.569 0.643
"193" -0.2 0.668
"194" -0.108 0.779
"195" 0.219 0.828
"196" -0.38 0.724
"197" 1.236 0.644
"198" 0.705 0.588
"199" -0.695 0.694
"200" -0.54 0.858
"201" -1.269 0.713
"202" -1.301 0.713
"203" -1.227 0.73
"204" -1.002 0.766
"205" 0.235 0.732
"206" -0.838 0.797
"207" -0.989 0.764
"208" -0.789 0.803
"209" -0.797 0.803
"210" -0.749 0.683
"211" -0.524 0.698
"212" -1.013 0.77
"213" -0.675 0.695
"214" -0.128 0.665
"215" -0.157 0.753
"216" -0.728 0.814
"217" 1.978 0.684
"218" 2.203 0.693
"219" 1.694 0.695
"220" 0.523 0.782
"221" -0.679 0.825
"222" 0.077 0.704
"223" -0.935 0.785
"224" 1.096 0.794
"225" -0.856 0.793
"226" 0.47 0.675
"227" -0.887 0.78
"228" -1.065 0.752
"229" -0.685 0.816
"230" 1.34 0.735
"231" -0.585 0.695
"232" -0.628 0.687
"233" 0.789 0.841
"234" -0.433 0.729
"235" -1.086 0.743
"236" -1.006 0.766
"237" 0.783 0.593
"238" -0.794 0.813
"239" -0.177 0.784
"240" 1.806 0.718
"241" 1.476 0.7
"242" 1.504 0.705
"243" -0.238 0.763
"244" -0.896 0.781
"245" 0.4 0.731
"246" 1.353 0.668
"247" 1.467 0.644
"248" 1.893 0.654
"249" -0.896 0.789
"250" 0.35 0.687
"251" -0.972 0.769
"252" 0.899 0.845
"253" 0.087 0.697
"254" 1.404 0.709
"255" 1.139 0.636
"256" -0.669 0.833
"257" -0.241 0.763
"258" -0.921 0.772
"259" -0.052 0.616
"260" 0.495 0.69
"261" -0.388 0.888
"262" 1.964 0.668
"263" 1.225 0.708
"264" -0.823 0.661
"265" 0.534 0.909
"266" -0.509 0.856
"267" -0.551 0.699
"268" -1.004 0.759
"269" 1.561 0.721
"270" -0.2 0.769
"271" 1.547 0.651
"272" -1.022 0.759
"273" -0.303 0.906
"274" -0.132 0.792
"275" -0.719 0.824
"276" -0.678 0.821
"277" -0.494 0.717
"278" -0.378 0.721
"279" -0.746 0.814
"280" -0.79 0.808
"281" -0.738 0.83
"282" -0.917 0.766
"283" -0.409 0.911
"284" 0.445 0.739
"285" -0.975 0.762
"286" -0.391 0.74
"287" 1.216 0.785
"288" -0.525 0.707
"289" -1.202 0.73
"290" -0.922 0.779
"291" -1.097 0.747
"292" -0.954 0.769
"293" -1.034 0.772
"294" -0.88 0.793
"295" -0.267 0.746
"296" 0.944 0.837
"297" -0.298 0.738
"298" -0.925 0.784
"299" -0.688 0.696
"300" -0.096 0.673
"301" 0.068 0.837
"302" -0.995 0.768
"303" -0.894 0.656
"304" -1.16 0.733
"305" -0.787 0.81
"306" -0.896 0.788
"307" -0.661 0.85
"308" -1.157 0.748
"309" 0.953 0.682
"310" 1.478 0.656
"311" 2.145 0.655
"312" 0.27 0.73
"313" 0.535 0.785
"314" -0.242 0.918
"315" 1.102 0.79
"316" 1.255 0.598
"317" 1.606 0.714
"318" 0.567 0.693
"319" -0.607 0.699
"320" -0.854 0.791
"321" -0.956 0.77
"322" -0.919 0.786
"323" -0.846 0.79
"324" -0.86 0.799
"325" -0.908 0.782
"326" 0.247 0.839
"327" -0.638 0.833
"328" -0.996 0.764
"329" -0.915 0.782
"330" -0.911 0.786
"331" -0.708 0.81
"332" 1.759 0.678
"333" 1.557 0.743
"334" -0.758 0.809
"335" -0.129 0.774
"336" 1.126 0.74
"337" -0.734 0.681
"338" 0.266 0.634
"339" -0.83 0.798
"340" -0.833 0.809
"341" -0.679 0.821
"342" -0.909 0.783
"343" 0.178 0.846
"344" -0.25 0.781
"345" -0.244 0.756
"346" -0.142 0.778
"347" 1.444 0.669
"348" 0.382 0.736
"349" -0.777 0.804
"350" -0.264 0.913
"351" 1.369 0.728
"352" -0.286 0.744
"353" -0.947 0.767
"354" 1.23 0.657
"355" -0.588 0.86
"356" 1.842 0.702
"357" 0.534 0.909
"358" -0.768 0.804
"359" -0.124 0.789
"360" -1.028 0.765
"361" -0.277 0.744
"362" -0.248 0.755
"363" -0.941 0.785
"364" -1.182 0.731
"365" -0.421 0.72
"366" 1.596 0.723
"367" -0.173 0.763
"368" -0.624 0.84
"369" 0.134 0.729
"370" 1.859 0.711
"371" 0.914 0.7
"372" -1.001 0.765
"373" -0.887 0.792
"374" -1.034 0.761
"375" -0.079 0.786
"376" 0.145 0.808
"377" -0.291 0.753
"378" 1.073 0.699
"379" -0.844 0.795
"380" -0.128 0.664
"381" 0.221 0.724
"382" -0.884 0.781
"383" 0.422 0.91
"384" 0.796 0.841
"385" -0.748 0.82
"386" -0.381 0.722
"387" 1.179 0.788
"388" 1.014 0.74
"389" -0.957 0.783
"390" -0.425 0.88
"391" -1.436 0.693
"392" 0.037 0.81
"393" 1.808 0.676
"394" -1.402 0.701
"395" -0.06 0.771
"396" 0.031 0.788
"397" -1.313 0.707
"398" -0.048 0.979
"399" 0.226 0.589
"400" -0.144 0.763
"401" 0.791 0.675
"402" -0.927 0.784
"403" 1.565 0.805
"404" 1.287 0.779
"405" 0.562 0.67
"406" -1.038 0.763
"407" -1.181 0.737
"408" -0.221 0.751
"409" -0.729 0.811
"410" 1.52 0.72
"411" 0.053 0.804
"412" -0.636 0.837
"413" -0.669 0.829
"414" 0.749 0.844
"415" -0.388 0.74
"416" -0.788 0.822
"417" -0.65 0.839
"418" -0.254 0.758
"419" 1.045 0.713
"420" -0.078 0.793
"421" -0.522 0.714
"422" -0.533 0.7
"423" 1.022 0.793
"424" -1.024 0.764
"425" 0.757 0.655
"426" -1.158 0.745
"427" 0.664 0.702
"428" -1.069 0.749
"429" 0.06 0.799
"430" -0.469 0.709
"431" 1.132 0.76
"432" 1.59 0.635
"433" -1.035 0.76
"434" -0.756 0.807
"435" -0.602 0.703
"436" 0.711 0.716
"437" 1.426 0.793
"438" -0.849 0.807
"439" -0.662 0.827
"440" -1.071 0.744
"441" 1.442 0.776
"442" 0.143 0.823
"443" 1.453 0.744
"444" -0.77 0.671
"445" -0.435 0.726
"446" -0.731 0.812
"447" 0.697 0.64
"448" -0.47 0.722
"449" 1.553 0.706
"450" 0.158 0.695
"451" -0.365 0.914
"452" -0.924 0.785
"453" -0.952 0.771
"454" -0.141 0.776
"455" 1.512 0.703
"456" 0.205 0.528
"457" 1.776 0.746
"458" -0.887 0.785
"459" 0.57 0.693
"460" -0.05 0.676
"461" 1.785 0.722
"462" 0.701 0.803
"463" -0.864 0.785
"464" 1.256 0.702
"465" 0.032 0.806
"466" -0.737 0.813
"467" -0.802 0.804
"468" -0.902 0.784
"469" -0.979 0.769
"470" 0.221 0.733
"471" -1.265 0.722
"472" 1.574 0.737
"473" -0.288 0.732
"474" -0.187 0.771
"475" -0.164 0.763
"476" 0.561 0.668
"477" 1.447 0.661
"478" -0.98 0.778
"479" 0.779 0.734
"480" -0.229 0.756
"481" -1.105 0.744
"482" -0.76 0.814
"483" 0.559 0.692
"484" -0.018 0.8
"485" -0.185 0.66
"486" -1.054 0.751
"487" 1.182 0.621
"488" -0.3 0.766
"489" -0.875 0.792
"490" -0.912 0.781
"491" -0.335 0.738
"492" 0.54 0.674
"493" -0.215 0.592
"494" 0.107 0.818
"495" 0.006 0.677
"496" -0.537 0.849
"497" -0.889 0.78
"498" -0.137 0.788
"499" 0.747 0.734
"500" 0.045 0.703
"501" 0.929 0.841
"502" -0.744 0.814
"503" -0.239 0.749
"504" -0.28 0.74
"505" 1.041 0.851
"506" 0.761 0.732
"507" -0.043 0.776
"508" 1.93 0.713
"509" -1.031 0.762
"510" -0.99 0.774
"511" -0.768 0.808
"512" -0.684 0.848
"513" 1.498 0.691
"514" -0.862 0.792
"515" 0.052 0.805
"516" -0.151 0.678
"517" 1.711 0.762
"518" -0.735 0.821
"519" 0.606 0.893
"520" -0.717 0.822
"521" -1.123 0.737
"522" -0.339 0.733
"523" 0.327 0.662
"524" 0.261 0.715
"525" -0.783 0.806
"526" 2.153 0.672
"527" -0.773 0.804
"528" -0.913 0.782
"529" -0.889 0.788
"530" 1.091 0.741
"531" -0.478 0.711
"532" -1.198 0.726
"533" -0.964 0.779
"534" -0.774 0.806
"535" -1.001 0.769
"536" -0.49 0.715
"537" 0.961 0.701
"538" -1.104 0.75
"539" -0.591 0.853
"540" 0.508 0.692
"541" -0.978 0.778
"542" 1.779 0.693
"543" 1.202 0.758
"544" 0.049 0.8
"545" -0.795 0.805
"546" 1.604 0.782
"547" -0.386 0.887
"548" 0.748 0.712
"549" 1.384 0.62
"550" -0.633 0.838
"551" -0.818 0.793
"552" 0.12 0.838
"553" -1.101 0.742
"554" 0.077 0.837
"555" -0.124 0.792
"556" 1.522 0.753
"557" -0.593 0.847
"558" -0.4 0.747
"559" 0.615 0.688
"560" -0.688 0.822
"561" -0.306 0.734
