"est" "sem"
"1" 0.578 0.766
"2" 0.289 0.847
"3" -0.843 0.784
"4" -0.753 0.814
"5" -0.418 0.727
"6" 0.523 0.766
"7" 0.733 0.768
"8" 0.672 0.782
"9" -0.937 0.779
"10" 0.846 0.659
"11" 0.551 0.788
"12" 0.092 0.691
"13" -0.983 0.764
"14" 0.944 0.714
"15" 1.323 0.76
"16" -0.372 0.741
"17" 1.805 0.719
"18" 1.836 0.729
"19" -0.587 0.85
"20" 1.557 0.743
"21" -0.397 0.892
"22" -0.507 0.86
"23" -0.53 0.864
"24" -0.57 0.852
"25" -1.13 0.749
"26" 1.558 0.714
"27" -0.938 0.776
"28" 1.026 0.839
"29" -0.614 0.841
"30" -0.054 0.772
"31" -0.997 0.764
"32" 1.17 0.746
"33" -0.695 0.824
"34" -0.304 0.729
"35" -0.209 0.922
"36" 1.112 0.714
"37" -1.223 0.725
"38" 1.546 0.684
"39" 2.109 0.684
"40" 0.653 0.666
"41" -0.732 0.826
"42" 0.756 0.843
"43" -0.524 0.719
"44" 0.996 0.753
"45" -0.023 0.692
"46" 1.197 0.725
"47" -0.744 0.821
"48" -0.711 0.824
"49" -1.31 0.713
"50" 0.951 0.73
"51" -1.072 0.753
"52" -0.441 0.729
"53" -0.385 0.729
"54" -0.69 0.822
"55" 0.704 0.696
"56" -0.448 0.893
"57" -0.816 0.798
"58" 0.638 0.817
"59" 0.555 0.687
"60" -1.031 0.763
"61" -0.573 0.688
"62" 0.257 0.829
"63" -0.561 0.848
"64" 1.457 0.796
"65" 1.26 0.64
"66" 2.39 0.684
"67" 1.101 0.853
"68" -0.668 0.824
"69" -1.014 0.763
"70" -1.069 0.755
"71" -0.845 0.804
"72" 0.354 0.721
"73" -0.271 0.752
"74" -0.83 0.79
"75" -0.828 0.805
"76" 0.106 0.814
"77" 1.693 0.737
"78" 0.369 0.838
"79" -0.379 0.901
"80" 1.619 0.714
"81" -0.699 0.826
"82" -0.768 0.811
"83" -1.159 0.74
"84" 1.986 0.755
"85" 1.543 0.761
"86" -0.716 0.822
"87" 1.252 0.698
"88" 0.674 0.807
"89" -1.027 0.76
"90" 1.679 0.651
"91" 0.583 0.577
"92" -0.84 0.789
"93" -0.763 0.808
"94" 1.94 0.739
"95" 0.906 0.833
"96" 0.325 0.728
"97" 0.251 0.849
"98" -1.285 0.716
"99" -0.645 0.835
"100" -0.861 0.787
"101" 1.573 0.689
"102" -0.721 0.825
"103" -0.339 0.735
"104" -1.063 0.749
"105" -1.07 0.758
"106" 0.607 0.566
"107" 0.204 0.848
"108" -0.587 0.709
"109" -0.822 0.799
"110" -0.452 0.892
"111" 1.182 0.688
"112" -0.803 0.804
"113" 0.521 0.68
"114" -0.507 0.703
"115" -0.946 0.778
"116" -0.957 0.777
"117" -0.22 0.747
"118" -0.734 0.828
"119" -0.764 0.814
"120" -0.91 0.786
"121" 0.01 0.816
"122" -0.89 0.798
"123" -0.789 0.798
"124" 0.024 0.801
"125" -1.112 0.746
"126" -0.634 0.833
"127" 0.771 0.624
"128" 0.279 0.587
