"est" "sem"
"1" -1.201 0.733
"2" 1.062 0.791
"3" 0.459 0.909
"4" 2.087 0.667
"5" -1.386 0.707
"6" 1.275 0.76
"7" 1.676 0.696
"8" -0.449 0.877
"9" -0.876 0.802
"10" 0.231 0.85
"11" -0.273 0.767
"12" -0.384 0.895
"13" 1.454 0.754
"14" -0.719 0.837
"15" 1.129 0.778
"16" -0.803 0.804
"17" -0.55 0.708
"18" -0.241 0.781
"19" -0.654 0.826
"20" 1.691 0.717
"21" -0.423 0.745
"22" -1.023 0.771
"23" -0.141 0.685
"24" -1.165 0.741
"25" 1.969 0.683
"26" -0.348 0.754
"27" 0.777 0.741
"28" -0.838 0.809
"29" -0.264 0.765
"30" -0.693 0.83
"31" 0.817 0.734
"32" -1.136 0.744
"33" -0.062 0.794
"34" -0.306 0.757
"35" -1.029 0.766
"36" -0.888 0.801
"37" 2.197 0.697
"38" 0.356 0.886
"39" 1.872 0.702
"40" 0.094 0.717
"41" -0.482 0.864
"42" -0.766 0.817
"43" 1.395 0.664
"44" -0.024 0.79
"45" 0.596 0.699
"46" 2.449 0.668
"47" -1.172 0.743
"48" 0.78 0.661
"49" -0.099 0.789
"50" 0.137 0.834
"51" -1.237 0.726
"52" 0.979 0.795
"53" -0.721 0.822
"54" -0.666 0.706
"55" 1.13 0.673
"56" -0.331 0.913
"57" -0.135 0.789
"58" -0.569 0.703
"59" 0.158 0.705
"60" 1.994 0.692
"61" 1.344 0.75
"62" -0.164 0.778
"63" -0.45 0.741
"64" -0.699 0.693
"65" 0.17 0.73
"66" -1.109 0.751
"67" -0.845 0.796
"68" -0.024 0.692
"69" 0.768 0.842
"70" -1.101 0.755
"71" -0.51 0.716
"72" 0.525 0.779
"73" -0.665 0.694
"74" -1.139 0.75
"75" -0.85 0.802
"76" 1.18 0.759
"77" 1.071 0.79
"78" 0.033 0.803
"79" 0.451 0.78
"80" 0.864 0.838
"81" -0.422 0.896
"82" -0.625 0.847
"83" 0.255 0.863
"84" -0.567 0.717
"85" 1.742 0.678
"86" -0.421 0.735
"87" -1.083 0.75
"88" -0.729 0.823
"89" -0.879 0.791
"90" 1.904 0.69
"91" -0.477 0.733
"92" -0.906 0.793
"93" -1.193 0.733
"94" -1.43 0.698
"95" 1.209 0.758
"96" 0.24 0.739
"97" 1.07 0.693
"98" -0.982 0.779
"99" 0.255 0.662
"100" -0.214 0.77
"101" -0.783 0.811
"102" -0.605 0.851
"103" -0.824 0.804
"104" -0.409 0.727
"105" 1.27 0.76
"106" -0.889 0.79
"107" -0.78 0.814
"108" 0.327 0.772
"109" 0.278 0.759
"110" -0.407 0.893
"111" -0.956 0.782
"112" 1.529 0.658
"113" 0.646 0.661
"114" 1.455 0.75
"115" 1.795 0.672
"116" 0.788 0.828
"117" 1.312 0.822
"118" -0.395 0.753
"119" 0.023 0.83
"120" -0.557 0.856
"121" 1.837 0.738
"122" -0.871 0.806
"123" -1.095 0.751
"124" 1.505 0.707
"125" -0.923 0.8
"126" 1.206 0.681
"127" 0.73 0.706
"128" 0.854 0.747
"129" 0.476 0.745
"130" 1.316 0.752
"131" -0.659 0.699
"132" -0.709 0.841
"133" -0.597 0.853
"134" -0.462 0.737
"135" 0.056 0.815
"136" -0.926 0.781
"137" 1.263 0.692
"138" 0.587 0.695
"139" -0.13 0.79
"140" -0.842 0.81
"141" 1.581 0.727
"142" 1.126 0.789
"143" -0.276 0.75
"144" -0.823 0.811
"145" -0.655 0.701
"146" -1.13 0.754
"147" -0.979 0.771
"148" -0.867 0.805
"149" -0.445 0.64
"150" 1.806 0.712
"151" 0.671 0.801
"152" 0.778 0.842
"153" 1.021 0.726
"154" 0.791 0.68
"155" -0.277 0.769
"156" -0.183 0.757
"157" 1.117 0.723
"158" 1.229 0.788
"159" 0.423 0.772
"160" -0.947 0.782
"161" 1.188 0.758
"162" 0.779 0.731
"163" 0.942 0.762
"164" 1.264 0.645
"165" -0.366 0.751
"166" 1.298 0.753
"167" -0.696 0.837
"168" 0.961 0.767
"169" 0.559 0.636
"170" -0.677 0.834
"171" -0.53 0.867
"172" -0.21 0.783
"173" 1.897 0.734
"174" -0.713 0.816
"175" 1.486 0.764
"176" 1.183 0.758
"177" 0.053 0.836
"178" -0.632 0.847
"179" -0.625 0.844
"180" 0.719 0.704
"181" -0.967 0.778
"182" -0.444 0.742
"183" -0.465 0.875
"184" -0.311 0.776
"185" -1.089 0.755
"186" -0.8 0.805
"187" 0.502 0.617
"188" -0.193 0.771
"189" -0.425 0.745
"190" 1.207 0.863
"191" 1.896 0.697
"192" -0.764 0.819
"193" -0.614 0.855
"194" 0.968 0.825
"195" 1.61 0.72
"196" 0.552 0.682
"197" 0.024 0.836
"198" 0.894 0.758
"199" -0.944 0.787
"200" -1.255 0.729
"201" -1.004 0.773
"202" -0.106 0.789
"203" 2.265 0.684
"204" -0.342 0.9
"205" 1.323 0.626
"206" -0.171 0.68
"207" -0.69 0.837
"208" 0.219 0.706
"209" 0.174 0.71
"210" 1.039 0.683
"211" 1.818 0.685
"212" 1.589 0.759
"213" -0.149 0.674
"214" -0.015 0.702
"215" -0.197 0.771
"216" 1.173 0.717
"217" -1.074 0.758
"218" 0.218 0.708
"219" 1.631 0.729
"220" 0.56 0.702
"221" 1.976 0.793
"222" -0.501 0.866
"223" -0.176 0.782
"224" -1.098 0.753
"225" 0.753 0.718
"226" -1.247 0.73
"227" 0.071 0.819
"228" -1.029 0.757
"229" -1.226 0.73
"230" 1.422 0.726
"231" -0.697 0.823
"232" 0.878 0.668
"233" -0.656 0.698
"234" -0.595 0.703
"235" 0.063 0.833
"236" 1.213 0.715
"237" 0.186 0.731
"238" 1.265 0.675
"239" -0.52 0.866
"240" -0.805 0.814
"241" -0.261 0.762
"242" -0.656 0.826
"243" 0.95 0.754
"244" -0.921 0.783
"245" 1.051 0.724
"246" 0.439 0.884
"247" -0.958 0.772
"248" -0.902 0.783
"249" 0.038 0.836
"250" -0.826 0.675
"251" -1.315 0.715
"252" -0.689 0.827
"253" -0.414 0.728
"254" 1.69 0.705
"255" -0.838 0.802
"256" -0.874 0.805
"257" -0.788 0.81
"258" 1.511 0.667
"259" 1.55 0.658
"260" -0.802 0.812
"261" 1.545 0.781
"262" 0.246 0.738
"263" 1.242 0.722
"264" -0.003 0.794
"265" 1.19 0.674
"266" -0.455 0.727
"267" 1.409 0.75
"268" 1.697 0.726
"269" 1.173 0.691
"270" -1.105 0.754
"271" -0.291 0.758
"272" 0.789 0.738
"273" -0.818 0.812
"274" 0.363 0.751
"275" -0.777 0.82
"276" 0.029 0.719
"277" -1.017 0.771
"278" 1.266 0.81
"279" 0.311 0.843
"280" -0.495 0.879
"281" 0.937 0.751
"282" -0.851 0.797
"283" -1.383 0.701
"284" -0.878 0.67
"285" -0.571 0.851
"286" 1.625 0.734
"287" -0.152 0.786
"288" -0.281 0.647
"289" -0.9 0.791
"290" -0.944 0.781
"291" 1.76 0.68
"292" -0.717 0.825
"293" 0.171 0.655
"294" -0.444 0.89
"295" -0.34 0.654
"296" 0.205 0.819
"297" -1.058 0.77
"298" -0.738 0.822
"299" 1.113 0.844
"300" -0.995 0.774
"301" 0.056 0.698
"302" -0.17 0.786
"303" 1.586 0.728
"304" 1.116 0.673
"305" 1.428 0.68
"306" -1.103 0.754
"307" -1.056 0.76
"308" -0.167 0.786
"309" -1.16 0.74
"310" 0.472 0.787
"311" -0.021 0.99
"312" 0.257 0.734
"313" 1.005 0.795
"314" -0.242 0.749
"315" 1.244 0.813
"316" -1.089 0.758
"317" -0.247 0.919
"318" -1.013 0.775
"319" -0.137 0.69
"320" 0.931 0.751
"321" -0.307 0.756
"322" -0.128 0.796
"323" -0.366 0.897
"324" -0.831 0.799
"325" 0.821 0.843
"326" -0.672 0.703
"327" 0.149 0.844
"328" -0.221 0.77
"329" -0.851 0.805
"330" 0.317 0.87
"331" -1.073 0.751
"332" -0.402 0.738
"333" -0.576 0.711
"334" -0.311 0.663
"335" -0.319 0.761
"336" -0.71 0.844
"337" -0.772 0.807
"338" -0.954 0.778
"339" -0.625 0.841
"340" 0.358 0.753
"341" 0.719 0.735
"342" 0.112 0.838
"343" -1.065 0.762
"344" -0.644 0.835
"345" 0.477 0.908
"346" -0.821 0.797
"347" 1.079 0.793
"348" 2.224 0.702
"349" 1.003 0.736
"350" -1.317 0.717
"351" 1.211 0.783
"352" 1.368 0.729
"353" -0.886 0.793
"354" -0.872 0.789
"355" -1.078 0.753
"356" -0.646 0.852
"357" -1.054 0.759
"358" -0.015 0.798
"359" -1.096 0.766
"360" 1.393 0.734
"361" -0.537 0.865
"362" 1.589 0.716
"363" -0.808 0.802
"364" -0.086 0.964
"365" 0.477 0.618
"366" -1.011 0.776
"367" -0.671 0.849
"368" -0.663 0.84
"369" -1.172 0.736
"370" 1.378 0.727
"371" 1.311 0.733
"372" 0.791 0.61
"373" 0.745 0.843
"374" -0.53 0.856
"375" -0.175 0.786
"376" 0.754 0.731
"377" -0.003 0.812
"378" 0.495 0.777
"379" -0.575 0.712
"380" 1.562 0.708
"381" 1.822 0.772
"382" -0.114 0.678
"383" -0.669 0.825
"384" 1.121 0.675
"385" -0.989 0.777
"386" -0.27 0.761
"387" 0.43 0.87
"388" 0.988 0.795
"389" 0.189 0.84
"390" -0.587 0.844
"391" -0.731 0.819
"392" -0.195 0.776
"393" -0.182 0.787
"394" 2.247 0.714
"395" -0.935 0.781
"396" 0.492 0.748
"397" -0.927 0.781
"398" 0.027 0.808
"399" 0.776 0.733
"400" -0.864 0.785
"401" -0.228 0.769
"402" 0.989 0.675
"403" 0.836 0.842
"404" 0.092 0.816
"405" -1.182 0.726
"406" -1.394 0.698
"407" 0.694 0.818
"408" 0.055 0.831
"409" -0.646 0.852
"410" -0.705 0.827
"411" -0.528 0.716
"412" -0.596 0.855
"413" -0.49 0.863
"414" 0.521 0.775
"415" 0.924 0.832
"416" 2.078 0.752
"417" -0.704 0.824
"418" -0.645 0.833
"419" -0.646 0.698
"420" -1.107 0.752
"421" -0.319 0.918
"422" -1.172 0.746
"423" 2.312 0.684
"424" -1.05 0.762
"425" -0.914 0.784
"426" -0.616 0.853
"427" 0.048 0.709
"428" -1.141 0.748
"429" 1.288 0.649
"430" -1.054 0.768
"431" -1.06 0.76
"432" 0.704 0.679
"433" 0.181 0.716
"434" -0.256 0.768
"435" -0.258 0.763
"436" -0.084 0.791
"437" -0.731 0.808
"438" 1.274 0.754
"439" 1.068 0.632
"440" -1.059 0.766
"441" 2.198 0.679
"442" 1.062 0.647
"443" -0.663 0.841
"444" 0.328 0.738
"445" -0.221 0.783
"446" -0.582 0.847
"447" 0.566 0.701
"448" 0.707 0.711
"449" -0.702 0.686
"450" -0.409 0.732
"451" 1.24 0.755
"452" -0.238 0.769
"453" 0.043 0.816
"454" 0.584 0.701
"455" 0.47 0.78
"456" -0.152 0.674
"457" 0.079 0.838
"458" -0.457 0.864
"459" -0.178 0.785
"460" -1.085 0.756
"461" -0.167 0.781
"462" 0.54 0.79
"463" 0.748 0.734
"464" -1.152 0.75
"465" 0.602 0.712
"466" 1.136 0.882
"467" -0.832 0.812
"468" 0.922 0.8
"469" 0.095 0.818
"470" -0.931 0.778
"471" -1.167 0.744
"472" 1.211 0.711
"473" -0.774 0.813
"474" -1.211 0.734
"475" -0.871 0.799
"476" 0.759 0.81
"477" 0.244 0.825
"478" 0.397 0.885
