"est" "sem"
"1" 0.727 0.592
"2" 2.551 0.668
"3" 0.386 0.739
"4" -0.607 0.692
"5" -0.212 0.761
"6" 1.598 0.715
"7" -0.812 0.787
"8" 1.108 0.689
"9" -1.006 0.764
"10" 0.082 0.692
"11" -0.1 0.768
"12" -0.164 0.749
"13" -0.656 0.836
"14" -0.976 0.771
"15" -1.149 0.745
"16" -0.648 0.835
"17" -1.094 0.758
"18" -0.663 0.819
"19" -0.757 0.809
"20" 0.697 0.656
"21" 1.38 0.788
"22" -0.767 0.67
"23" 0.649 0.736
"24" -0.867 0.785
"25" 0.487 0.856
"26" 0.23 0.743
"27" -1.177 0.733
"28" -0.549 0.861
"29" -0.365 0.723
"30" -0.605 0.833
"31" 1.164 0.6
"32" 0.501 0.613
"33" -0.791 0.809
"34" -0.241 0.92
"35" -0.47 0.705
"36" -0.658 0.85
"37" 0.163 0.808
"38" -0.374 0.723
"39" -1.122 0.742
"40" -0.894 0.782
"41" -1.009 0.765
"42" 1.764 0.695
"43" 0.366 0.645
"44" -0.964 0.774
"45" -0.669 0.822
"46" 1.076 0.759
"47" 1.661 0.698
"48" -0.952 0.77
"49" 1.568 0.725
"50" 0.17 0.63
"51" -0.5 0.714
"52" -0.461 0.713
"53" -0.882 0.792
"54" 1.172 0.699
"55" -1.216 0.727
"56" 1.771 0.677
"57" 0.711 0.846
"58" -0.526 0.705
"59" -1.083 0.751
"60" -0.419 0.734
"61" -1.128 0.75
"62" 1.287 0.849
"63" 0.753 0.711
"64" -0.157 0.787
"65" -1.039 0.757
"66" -0.417 0.89
"67" -0.557 0.706
"68" -0.542 0.851
"69" -0.548 0.704
"70" 0.77 0.557
"71" 0.628 0.639
"72" -0.447 0.864
"73" -0.797 0.805
"74" 1.334 0.696
"75" 1.053 0.834
"76" 1.16 0.691
"77" -0.821 0.803
"78" -0.345 0.91
"79" -0.593 0.847
"80" 0.012 0.759
"81" 1.579 0.621
"82" -0.706 0.817
"83" -1.036 0.763
"84" 2.281 0.653
"85" 1.721 0.702
"86" -0.778 0.805
"87" -0.204 0.929
"88" -0.305 0.92
"89" -0.233 0.759
"90" -0.944 0.767
"91" 1.164 0.674
"92" 2.22 0.658
"93" -0.235 0.92
"94" -0.017 0.779
"95" -0.031 0.788
"96" -0.39 0.717
"97" -0.494 0.868
"98" 1.358 0.75
"99" -0.595 0.849
"100" -0.861 0.793
"101" -0.626 0.834
"102" -0.796 0.811
"103" 0.129 0.823
"104" 0.814 0.633
"105" -0.016 0.675
"106" -0.812 0.807
"107" 2.154 0.654
"108" -0.828 0.784
"109" -0.271 0.907
"110" -0.083 0.679
"111" 0.883 0.699
"112" -0.788 0.677
"113" 0.705 0.776
"114" 0.565 0.62
"115" -0.712 0.833
"116" 1.804 0.715
"117" -0.898 0.79
"118" -0.543 0.842
"119" -1.194 0.739
"120" -0.476 0.732
"121" -0.554 0.855
"122" -0.93 0.771
"123" -1.029 0.762
"124" 0.338 0.728
"125" 0.491 0.75
"126" -0.135 0.762
"127" 0.589 0.687
"128" -0.869 0.8
"129" 1.9 0.719
"130" -0.518 0.849
"131" -0.983 0.772
"132" -0.611 0.688
"133" -0.669 0.679
"134" 0.075 0.812
"135" -0.024 0.605
"136" 0.119 0.811
"137" -0.62 0.825
"138" 1.129 0.558
"139" -0.687 0.817
"140" 0.809 0.645
"141" 1.271 0.79
"142" -0.61 0.7
"143" -0.027 0.595
"144" 1.101 0.679
"145" 0.153 0.63
"146" 0.199 0.636
"147" 0.165 0.701
"148" -0.969 0.777
"149" 0.71 0.705
"150" 0.622 0.698
"151" -1.009 0.771
"152" 0.134 0.811
"153" -0.844 0.804
"154" -0.88 0.787
"155" -0.027 0.788
"156" -1.034 0.767
"157" 0.352 0.74
"158" 1.195 0.797
"159" -0.539 0.854
"160" 0.285 0.722
"161" 1.403 0.7
"162" -1.072 0.752
"163" 1.721 0.72
"164" -1.118 0.754
"165" 0.274 0.708
"166" -1.1 0.745
"167" -0.787 0.8
"168" -0.91 0.783
"169" 2.459 0.686
"170" -0.662 0.831
"171" 0.415 0.854
"172" 0.195 0.711
"173" -0.613 0.836
"174" 0.92 0.718
"175" 1.066 0.704
"176" -1.085 0.758
"177" 1.836 0.704
"178" 0.763 0.719
"179" -0.844 0.801
"180" -0.211 0.925
"181" 1.572 0.665
"182" 0.301 0.642
"183" -0.929 0.772
"184" 0.263 0.859
"185" 0.247 0.703
"186" -0.558 0.695
"187" -0.792 0.801
"188" -0.648 0.694
"189" 2.398 0.623
"190" -0.899 0.797
"191" 0.587 0.753
"192" 1.904 0.627
"193" -0.193 0.763
"194" -0.355 0.884
"195" 2.073 0.658
"196" -0.973 0.766
"197" 1.627 0.725
"198" -1.072 0.755
"199" -0.748 0.825
"200" -0.836 0.795
"201" -0.457 0.88
"202" -0.946 0.78
"203" -0.103 0.668
"204" 0.177 0.825
"205" -0.818 0.788
"206" -0.767 0.677
"207" -0.82 0.806
"208" 0.345 0.636
"209" 1.923 0.66
"210" 2.087 0.704
"211" -0.736 0.808
"212" -0.926 0.786
"213" -0.508 0.861
"214" -0.752 0.818
"215" 0.246 0.721
"216" -0.196 0.654
"217" 0.408 0.665
"218" 1.512 0.752
"219" -0.41 0.893
"220" -0.846 0.805
"221" -1.085 0.75
"222" -0.262 0.75
"223" -1.086 0.744
"224" -1.196 0.731
"225" -0.909 0.784
"226" -0.521 0.614
"227" -0.891 0.791
"228" -0.043 0.608
"229" -1.065 0.752
"230" 1.82 0.624
"231" 0.831 0.648
"232" -0.502 0.691
"233" 0.329 0.743
"234" -0.243 0.747
"235" 0.38 0.749
"236" -0.89 0.781
"237" 2.456 0.681
"238" -0.768 0.818
